iter	Accuracy	MultiClass
644	0.8746843434	0.3412657837
645	0.8748526936	0.341123291
646	0.8749158249	0.3409973862
647	0.875	0.3408292255
648	0.875	0.3407415934
649	0.8752104377	0.340394848
650	0.8751893939	0.340252365
651	0.8752525253	0.3400710008
652	0.875462963	0.3399865708
653	0.8755260943	0.339949765
654	0.8756313131	0.3398580501
655	0.8756102694	0.3397475048
656	0.8756944444	0.3395204084
657	0.8756944444	0.3394219673
658	0.8758627946	0.3391814428
659	0.8759048822	0.3390332734
660	0.8759890572	0.3388530159
661	0.8761574074	0.3385104059
662	0.8766624579	0.3382296421
663	0.8770833333	0.3380103276
664	0.8768518519	0.337823874
665	0.8768939394	0.3376868529
666	0.8769991582	0.3375211724
667	0.8771043771	0.3372717447
668	0.8771885522	0.3371943501
669	0.8772516835	0.3370368706
670	0.8774200337	0.3367900113
671	0.8776725589	0.3366169979
672	0.8778829966	0.3362129397
673	0.8778619529	0.3361074059
674	0.8777777778	0.3360379203
675	0.8781144781	0.3356061963
676	0.8781565657	0.3354394007
677	0.878219697	0.335362699
678	0.8783249158	0.3352542643
679	0.8783880471	0.3352294875
680	0.8784722222	0.334824752
681	0.8785143098	0.3347391443
682	0.8785984848	0.3345642772
683	0.8786405724	0.334419894
684	0.8788930976	0.3340706151
685	0.8789983165	0.3337700286
686	0.8792508418	0.3334802588
687	0.8792718855	0.3334539883
688	0.8793771044	0.33331496
689	0.8793981481	0.333176263
690	0.8792087542	0.3329903521
691	0.8793981481	0.3326632294
692	0.8794612795	0.3325964653
693	0.8794823232	0.3324855595
694	0.8796296296	0.3323630497
695	0.8797558923	0.3322349013
696	0.8797979798	0.3321739442
697	0.8798190236	0.332016525
698	0.8798190236	0.3319331529
699	0.8799452862	0.3318595376
700	0.87996633	0.3317537859
701	0.8800715488	0.3315429059
702	0.880239899	0.331273738
703	0.8802188552	0.331074038
704	0.8804503367	0.3308645587
705	0.8804082492	0.3306749309
706	0.8804713805	0.3305705653
707	0.880702862	0.330431966
708	0.8806186869	0.3302351189
709	0.8808291246	0.3300547744
710	0.8809974747	0.3297712114
711	0.8811447811	0.3295176267
712	0.8812079125	0.3292328574
713	0.8814183502	0.3289422474
714	0.8814814815	0.3288095427
715	0.881523569	0.3286706182
716	0.881523569	0.3284499825
717	0.8818602694	0.3282691095
718	0.8818813131	0.3281767529
719	0.8822180135	0.327724483
720	0.8820496633	0.3274509278
721	0.8822180135	0.3273494839
722	0.8826388889	0.3270118622
723	0.8826388889	0.32675651
724	0.882996633	0.3264345431
725	0.8830597643	0.3262131462
726	0.8832070707	0.3258497972
727	0.8833543771	0.325786549
728	0.8832281145	0.3257233817
729	0.8831860269	0.3256531908
730	0.8835016835	0.3254138718
731	0.8834175084	0.3253695424
732	0.8835648148	0.3252102321
733	0.8837752525	0.3250018622
734	0.8839646465	0.3249219455
735	0.8840277778	0.3248145578
736	0.8842171717	0.3244962843
737	0.8841961279	0.3242977601
738	0.8843013468	0.3241608025
739	0.8843855219	0.32398829
740	0.8843434343	0.323829214
741	0.8845749158	0.323674939
742	0.8847011785	0.3233721634
743	0.8848063973	0.3232162536
744	0.8849326599	0.3230204977
745	0.8850799663	0.322866232
746	0.8850589226	0.3226833111
747	0.8852483165	0.3224106933
748	0.885479798	0.3222875065
749	0.8855429293	0.3220263909
750	0.8855008418	0.3219291851
751	0.8858164983	0.321768334
752	0.8856691919	0.3217065117
753	0.8858796296	0.3215195541
754	0.8859638047	0.3213948491
755	0.8860479798	0.3210903272
756	0.88621633	0.3210309237
757	0.88621633	0.3208234098
758	0.8862584175	0.3206967532
759	0.8864057239	0.3204597033
760	0.8864057239	0.320367673
761	0.8867003367	0.3201535034
762	0.8865740741	0.3201100907
763	0.8866582492	0.3199509321
764	0.8868265993	0.3196204756
765	0.8868686869	0.3194866709
766	0.887037037	0.3193700986
767	0.8869949495	0.3191795258
768	0.8871422559	0.3189767619
769	0.8871422559	0.3188466361
770	0.8872895623	0.318726632
771	0.8874368687	0.318578985
772	0.8875210438	0.3184176002
773	0.8879419192	0.3180400979
774	0.8879208754	0.3178675819
775	0.8880892256	0.3177170664
776	0.8880892256	0.3175847036
777	0.8881523569	0.3173009958
778	0.8881944444	0.3171798803
779	0.8882996633	0.317059533
780	0.8883838384	0.3168812989
781	0.8884890572	0.3166877161
782	0.8888257576	0.3165559923
783	0.8889941077	0.3163487886
784	0.8890782828	0.3162143302
785	0.8892676768	0.3160622201
786	0.8893097643	0.3158691476
787	0.889246633	0.3157883461
788	0.8896043771	0.3155372265
789	0.8896043771	0.315457166
790	0.8896675084	0.3154084096
791	0.8898779461	0.315111597
792	0.8900252525	0.3148674444
793	0.8899410774	0.3147569918
794	0.8899621212	0.3146896673
795	0.8898569024	0.3146227637
796	0.8898569024	0.3145079231
797	0.8901515152	0.3143494801
798	0.8900883838	0.3141236954
799	0.8901936027	0.3140130746
800	0.8901725589	0.3138558513
801	0.8903619529	0.3137280801
802	0.890530303	0.3135363323
803	0.8905092593	0.313318635
804	0.8906776094	0.3130507356
805	0.8907828283	0.3128625598
806	0.890719697	0.3127295239
807	0.8911405724	0.3125009742
808	0.8910774411	0.3123458671
809	0.8912457912	0.3120538466
810	0.8912457912	0.3120240585
811	0.8912878788	0.3119261946
812	0.8913089226	0.3117747076
813	0.891456229	0.3117352723
814	0.891540404	0.3115656267
815	0.8917508418	0.3113639585
816	0.8917087542	0.3112529247
817	0.8919191919	0.3110795285
818	0.8919191919	0.3108424764
819	0.8921717172	0.3105770388
820	0.8923190236	0.3104288056
821	0.8924242424	0.3102218177
822	0.8924452862	0.3100556486
823	0.8926136364	0.3098929493
824	0.8927188552	0.3098156756
825	0.892739899	0.3097221313
826	0.8927819865	0.3096525108
827	0.8928030303	0.309568008
828	0.8931607744	0.3094267358
829	0.8931607744	0.3091945068
830	0.8932659933	0.3090991895
831	0.8933922559	0.3088900607
832	0.8936237374	0.3085889017
833	0.8938552189	0.3084676915
834	0.8940656566	0.3082779403
835	0.8940025253	0.30812578
836	0.8940867003	0.3079658329
837	0.8941287879	0.3078015897
838	0.8941498316	0.3076189751
839	0.894212963	0.3074151438
840	0.8943602694	0.307284632
841	0.8944654882	0.3071783747
842	0.8945496633	0.3070730543
843	0.8945075758	0.3069287626
844	0.894486532	0.3067911174
845	0.8945917508	0.306685823
846	0.894760101	0.3066176506
847	0.89503367	0.3064506606
848	0.8951809764	0.3061243516
849	0.8956649832	0.3057497005
850	0.8955597643	0.3056526086
851	0.8959175084	0.3054623303
852	0.895959596	0.3052625151
853	0.8959175084	0.3048801321
854	0.896043771	0.3047913456
855	0.8962962963	0.3044877554
856	0.8964646465	0.3043595474
857	0.8965698653	0.3042313532
858	0.8968434343	0.3040628455
859	0.8968013468	0.3038330872
860	0.8970328283	0.3036002702
861	0.8971380471	0.3035265598
862	0.8968855219	0.3032413685
863	0.8969065657	0.3031140008
864	0.896969697	0.3030274348
865	0.8970328283	0.3029031657
866	0.8973063973	0.3026652674
867	0.8972643098	0.3026043694
868	0.8972643098	0.3025577865
869	0.8974957912	0.3023248513
870	0.897516835	0.3022888625
871	0.8975589226	0.302153467
872	0.8976010101	0.3020591469
873	0.8976430976	0.301916788
874	0.8977693603	0.3016983177
875	0.8978324916	0.3015558451
876	0.8980850168	0.3014330476
877	0.898253367	0.3012636601
878	0.8983796296	0.3009989103
879	0.898526936	0.3008062731
880	0.8986531987	0.3005712583
881	0.8984848485	0.3003326075
